feature,abs_cohens_d,signed_cohens_d
time_shape_factor,1.1929987393974515,-1.1929987393974515
freq_spectral_entropy,1.1672845970768768,-1.1672845970768768
time_clearance_factor,0.9387131843651793,-0.9387131843651793
time_margin_factor,0.9387131843651793,-0.9387131843651793
time_impulse_factor,0.9085829440669906,-0.9085829440669906
time_kurtosis,0.8773628915656435,-0.8773628915656435
time_peak,0.8445520306234696,-0.8445520306234696
time_crest_factor,0.8445520306234694,-0.8445520306234694
time_zero_crossings,0.8259282208747205,0.8259282208747205
time_peak_to_peak,0.8109555520175161,-0.8109555520175161
time_skewness,0.7676047109505817,-0.7676047109505817
time_hjorth_mobility,0.704512915552809,0.704512915552809
tf_stft_entropy,0.687365850350622,-0.687365850350622
freq_spectral_mean,0.629709441478912,0.629709441478912
time_hjorth_complexity,0.5433463588113855,-0.5433463588113855
freq_peak_frequency,0.5247598562115566,0.5247598562115566
freq_spectral_kurtosis,0.4051539525557752,0.4051539525557752
freq_envelope_peak_frequency,0.36772658198435554,-0.36772658198435554
freq_spectral_flatness,0.3043974411781682,-0.3043974411781682
tf_cwt_scale_entropy,0.2913352792698213,0.2913352792698213
freq_spectral_std,0.2636168134718418,-0.2636168134718418
freq_bandwidth,0.2636168134718418,-0.2636168134718418
freq_spectral_var,0.11150370396923598,-0.11150370396923598
freq_spectral_skewness,0.1103019180289431,0.1103019180289431
freq_roll_off_95,0.09860717016833917,-0.09860717016833917
tf_stft_energy,0.05443337031012884,-0.05443337031012884
tf_cwt_dominant_frequency,0.04481768884112999,-0.04481768884112999
time_mean,4.588691359942185e-08,4.588691359942185e-08
time_rms,0.0,0.0
time_variance,0.0,0.0
time_std,0.0,0.0
time_energy,0.0,0.0
time_hjorth_activity,0.0,0.0
tf_emd_imf_count,0.0,0.0
tf_emd_energy_ratio,0.0,0.0
tf_emd_hilbert_energy,0.0,0.0
