feature,fisher_score
time_shape_factor,667.9387891517515
freq_spectral_entropy,639.5108136691712
time_clearance_factor,413.5519516657286
time_margin_factor,413.5519516657286
time_impulse_factor,387.43268777584404
time_kurtosis,361.24456332320347
time_peak,334.7611708467256
time_crest_factor,334.7611708467255
time_zero_crossings,320.17728433949424
time_peak_to_peak,308.6499772333626
time_skewness,276.5452566762558
time_hjorth_mobility,232.92918929555944
tf_stft_entropy,221.78842176462305
freq_spectral_mean,186.09701112194628
time_hjorth_complexity,138.5557525529655
freq_peak_frequency,129.24025003852628
freq_spectral_kurtosis,77.0462739375753
freq_envelope_peak_frequency,63.48205270493381
freq_spectral_flatness,43.49052756540069
tf_cwt_scale_entropy,39.835887026090646
freq_spectral_std,32.62315764862329
freq_bandwidth,32.62315764862329
freq_spectral_var,5.836482055016004
freq_spectral_skewness,5.710792144040098
freq_roll_off_95,4.562873181921588
tf_stft_energy,1.3910016178300435
tf_cwt_dominant_frequency,0.9428172324235717
time_mean,1.9766955230531504e-24
time_rms,0.0
time_variance,0.0
time_std,0.0
time_energy,0.0
time_hjorth_activity,0.0
tf_emd_imf_count,0.0
tf_emd_energy_ratio,0.0
tf_emd_hilbert_energy,0.0
